ORGID,PARENT,OKFS,INN,OKPO,OKONH,SOOGU,OKOPF,KODREG,REGDATE,REGNUM,ORGNAME,ORGSNAME,COMMENT,FIZADDR,URADDR,POSTADDR,PHONE,FAX,EMAIL,WWW,MYORG,CONFDATE,MAINOKONH,OKBV,OCCUPATION,FIRST_DATE,LAST_DATE,OUT_REASON,OUT_DATE,SBM_ID,KODTERR,EXT_ID,HAS_BRON,F6_SHIFR,REGPL_ID,CHK_DATE,OKATO2,OKATO3,Feature1,Feature2,Feature3,OVK_ID,KODOKTMO,KODOKTMO2,REGPLACE,COMPUTERS,SOFTWARENUM,SOFTWARE,KPIS,COMPUTERSS,SOFTWARENUMS,KPISS,Kopf_Changed,Okved_Changed,SBM,OVK_NAME
143,,42,7705410244,50010244,"14001,14010,14050",,12247,45286552000,2000-04-30,000.001.0244,"ЗАВОД № 0244","ЗАВОД № 0244",,"2-я Грузинская улица, д. 44, к. 4","2-я Грузинская улица, д. 44, к. 4","2-я Грузинская улица, д. 44, к. 4",111-1000,111-2000,,,,2003-07-20,14001,10244-A1,,2000-02-13,2003-07-20,,,1,45286552000,143,0,01,1,2004-05-05,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
144,,16,7705430259,50030259,"71200,71201",,12247,45286552000,2000-08-16,000.003.0259,"УНИВЕРСАМ № 0259","УНИВЕРСАМ № 0259",,"2-й пер. Призывников, д. 50","2-й пер. Призывников, д. 50","2-й пер. Призывников, д. 50",,,,,,2003-02-24,71200,30259-A1,"реализация товаров массового спроса",2000-07-18,2003-02-24,,,4,45286552000,144,0,01,4,2003-11-23,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
145,,14,7705450230,50050230,"82000,82205",,,45286552000,2000-01-04,000.005.0230,ГУП-0230,ГУП-0230,,"ул. Новый Арбат, д. 5","ул. Новый Арбат, д. 5","ул. Новый Арбат, д. 5",,,,,,2003-04-19,82000,50230-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-06-27,2003-04-19,,,4,45286552000,145,0,03,1,2003-08-22,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
146,,12,7705420239,50020239,"91510,91511,91515,10.15.15",,12247,45286552000,2000-05-31,000.002.0239,"АПТЕКА № 0239","АПТЕКА № 0239",,"пер. Маяковского, д. 8","пер. Маяковского, д. 8","пер. Маяковского, д. 8",,,,,,2002-10-26,91510,20239-B,"торговля фармпрепаратами",2000-05-25,2003-10-26,,,1,45286552000,146,1,01,1,2004-01-10,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
147,,42,7705410250,50010250,"14001,14010,14050",,12247,45286552000,2000-07-08,000.001.0250,"ЗАВОД № 0250","ЗАВОД № 0250",,"ул. Гвоздева, д. 75","ул. Гвоздева, д. 75","ул. Гвоздева, д. 75",111-1000,111-2000,,,,2003-03-27,14001,10250-A1,,2000-07-12,2003-03-27,,,1,45286552000,147,0,01,1,2003-05-13,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
148,,14,7705440254,50040254,,,75000,45286552000,2000-09-22,000.004.0254,"ШКОЛА № 0254","ШКОЛА № 0254",,"ул. Теплый Стан, д. 96, к. 4","ул. Теплый Стан, д. 96, к. 4","ул. Теплый Стан, д. 96, к. 4",,,,,,2003-01-12,92100,40254-A1,образование,2000-03-26,2003-01-12,,,4,45286552000,148,0,01,1,2003-07-15,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
149,,14,7705450234,50050234,"82000,82205",,,45286552000,2000-01-25,000.005.0234,ГУП-0234,ГУП-0234,,"пр-т Мира, д. 80","пр-т Мира, д. 80","пр-т Мира, д. 80",,,,,,2002-10-14,82000,50234-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-09-14,2003-10-14,,,4,45286552000,149,0,03,1,2004-04-07,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
150,,14,7705450235,50050235,"82000,82205",,,45286552000,2000-08-30,000.005.0235,ГУП-0235,ГУП-0235,,"2-й пер. Призывников, д. 31","2-й пер. Призывников, д. 31","2-й пер. Призывников, д. 31",,,,,,2003-07-20,82000,50235-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-08-26,2003-07-20,,,4,45286552000,150,0,03,1,2003-10-24,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
151,,12,7705420242,50020242,"91510,91511,91515,10.15.15",,12247,45286552000,2000-11-23,000.002.0242,"АПТЕКА № 0242","АПТЕКА № 0242",,"ул. Гвоздева, д. 80","ул. Гвоздева, д. 80","ул. Гвоздева, д. 80",,,,,,2003-07-03,91510,20242-B,"торговля фармпрепаратами",2000-10-16,2003-07-03,,,1,45286552000,151,1,01,1,2003-11-16,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
152,,16,7705430281,50030281,"71200,71201",,12247,45286552000,2000-05-26,000.003.0281,"УНИВЕРСАМ № 0281","УНИВЕРСАМ № 0281",,"Новоясеневский пр-т, д. 92","Новоясеневский пр-т, д. 92","Новоясеневский пр-т, д. 92",,,,,,2003-05-09,71200,30281-A1,"реализация товаров массового спроса",2000-01-31,2003-05-09,,,4,45286552000,152,0,01,4,2003-08-20,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
153,,12,7705420250,50020250,"91510,91511,91515,10.15.15",,12247,45286552000,2000-05-19,000.002.0250,"АПТЕКА № 0250","АПТЕКА № 0250",,"2-й пер. Призывников, д. 99","2-й пер. Призывников, д. 99","2-й пер. Призывников, д. 99",,,,,,2003-01-07,91510,20250-B,"торговля фармпрепаратами",2000-12-12,2003-01-07,,,1,45286552000,153,1,01,1,2003-01-23,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
154,,16,7705460272,50060272,,,,45286552000,2000-05-20,000.006.0272,ЧП-0272,ЧП-0272,,"пер. Маяковского, д. 13, к. 2","пер. Маяковского, д. 13, к. 2","пер. Маяковского, д. 13, к. 2",,,,,,2002-12-13,84000,60272-A1,коммерция,2000-06-10,2003-12-13,,,4,45286552000,154,0,01,1,2004-06-12,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
155,,14,7705440267,50040267,,,75000,45286552000,2000-10-01,000.004.0267,"ШКОЛА № 0267","ШКОЛА № 0267",,"ул. Гвоздева, д. 7, к. 3","ул. Гвоздева, д. 7, к. 3","ул. Гвоздева, д. 7, к. 3",,,,,,2003-03-04,92100,40267-A1,образование,2000-11-22,2003-03-04,,,4,45286552000,155,0,01,1,2003-10-29,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
156,,12,7705420253,50020253,"91510,91511,91515,10.15.15",,12247,45286552000,2000-08-31,000.002.0253,"АПТЕКА № 0253","АПТЕКА № 0253",,"ул. Зеленая, д. 9","ул. Зеленая, д. 9","ул. Зеленая, д. 9",,,,,,2003-03-27,91510,20253-B,"торговля фармпрепаратами",2000-07-27,2003-03-27,,,1,45286552000,156,1,01,1,2003-10-11,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
157,,16,7705430289,50030289,"71200,71201",,12247,45286552000,2000-06-05,000.003.0289,"УНИВЕРСАМ № 0289","УНИВЕРСАМ № 0289",,"ул. Ленина, д. 73","ул. Ленина, д. 73","ул. Ленина, д. 73",,,,,,2002-10-21,71200,30289-A1,"реализация товаров массового спроса",2000-12-07,2003-10-21,,,4,45286552000,157,0,01,4,2004-06-28,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
158,,16,7705430291,50030291,"71200,71201",,12247,45286552000,2000-03-02,000.003.0291,"УНИВЕРСАМ № 0291","УНИВЕРСАМ № 0291",,"ул. Зеленая, д. 92","ул. Зеленая, д. 92","ул. Зеленая, д. 92",,,,,,2003-01-15,71200,30291-A1,"реализация товаров массового спроса",2000-07-10,2003-01-15,,,4,45286552000,158,0,01,4,2003-08-24,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
159,,14,7705440273,50040273,,,75000,45286552000,2000-10-30,000.004.0273,"ШКОЛА № 0273","ШКОЛА № 0273",,"пл. Победы, д. 81, к. 3","пл. Победы, д. 81, к. 3","пл. Победы, д. 81, к. 3",,,,,,2003-05-21,92100,40273-A1,образование,2000-03-01,2003-05-21,,,4,45286552000,159,0,01,1,2004-02-28,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
160,,14,7705440276,50040276,,,75000,45286552000,2000-03-12,000.004.0276,"ШКОЛА № 0276","ШКОЛА № 0276",,"ул. Теплый Стан, д. 19","ул. Теплый Стан, д. 19","ул. Теплый Стан, д. 19",,,,,,2003-07-21,92100,40276-A1,образование,2000-11-21,2003-07-21,,,4,45286552000,160,0,01,1,2004-04-11,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
161,,16,7705430295,50030295,"71200,71201",,12247,45286552000,2000-02-05,000.003.0295,"УНИВЕРСАМ № 0295","УНИВЕРСАМ № 0295",,"ул. Островитянова, д. 8, к. 1","ул. Островитянова, д. 8, к. 1","ул. Островитянова, д. 8, к. 1",,,,,,2002-08-19,71200,30295-A1,"реализация товаров массового спроса",2000-02-20,2003-08-19,,,4,45286552000,161,0,01,4,2004-04-03,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
162,,12,7705420266,50020266,"91510,91511,91515,10.15.15",,12247,45286552000,2000-02-08,000.002.0266,"АПТЕКА № 0266","АПТЕКА № 0266",,"ул. Новый Арбат, д. 27, к. 2","ул. Новый Арбат, д. 27, к. 2","ул. Новый Арбат, д. 27, к. 2",,,,,,2003-03-12,91510,20266-B,"торговля фармпрепаратами",2000-11-29,2003-03-12,,,1,45286552000,162,1,01,1,2003-04-15,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
163,,14,7705450258,50050258,"82000,82205",,,45286552000,2000-05-05,000.005.0258,ГУП-0258,ГУП-0258,,"тупик Совхозный, д. 33","тупик Совхозный, д. 33","тупик Совхозный, д. 33",,,,,,2002-10-15,82000,50258-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-10-02,2003-10-15,,,4,45286552000,163,0,03,1,2003-11-04,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
164,,12,7705420275,50020275,"91510,91511,91515,10.15.15",,12247,45286552000,2000-10-02,000.002.0275,"АПТЕКА № 0275","АПТЕКА № 0275",,"ул. Новый Арбат, д. 65","ул. Новый Арбат, д. 65","ул. Новый Арбат, д. 65",,,,,,2003-06-26,91510,20275-B,"торговля фармпрепаратами",2000-11-08,2003-06-26,,,1,45286552000,164,1,01,1,2003-11-17,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
165,,14,7705450266,50050266,"82000,82205",,,45286552000,2000-12-21,000.005.0266,ГУП-0266,ГУП-0266,,"тупик Совхозный, д. 87","тупик Совхозный, д. 87","тупик Совхозный, д. 87",,,,,,2003-04-20,82000,50266-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-04-14,2003-04-20,,,4,45286552000,165,0,03,1,2003-11-27,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
166,,16,7705460292,50060292,,,,45286552000,2000-06-07,000.006.0292,ЧП-0292,ЧП-0292,,"ул. Новаторов, д. 37, к. 4","ул. Новаторов, д. 37, к. 4","ул. Новаторов, д. 37, к. 4",,,,,,2003-07-09,84000,60292-A1,коммерция,2000-06-15,2003-07-09,,,4,45286552000,166,0,01,1,2004-06-21,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
167,,14,7705450268,50050268,"82000,82205",,,45286552000,2000-02-16,000.005.0268,ГУП-0268,ГУП-0268,,"пл. Победы, д. 32","пл. Победы, д. 32","пл. Победы, д. 32",,,,,,2003-05-01,82000,50268-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-12-02,2003-05-01,,,4,45286552000,167,0,03,1,2004-01-06,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
168,,16,7705460293,50060293,,,,45286552000,2000-09-25,000.006.0293,ЧП-0293,ЧП-0293,,"ул. Гагарина, д. 97","ул. Гагарина, д. 97","ул. Гагарина, д. 97",,,,,,2003-03-07,84000,60293-A1,коммерция,2000-09-10,2003-03-07,,,4,45286552000,168,0,01,1,2003-09-30,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
169,,16,7705460294,50060294,,,,45286552000,2000-08-14,000.006.0294,ЧП-0294,ЧП-0294,,"ул. Гвоздева, д. 51","ул. Гвоздева, д. 51","ул. Гвоздева, д. 51",,,,,,2003-03-27,84000,60294-A1,коммерция,2000-06-29,2003-03-27,,,4,45286552000,169,0,01,1,2003-11-15,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
170,,12,7705420282,50020282,"91510,91511,91515,10.15.15",,12247,45286552000,2000-02-24,000.002.0282,"АПТЕКА № 0282","АПТЕКА № 0282",,"пл. Победы, д. 95, к. 3","пл. Победы, д. 95, к. 3","пл. Победы, д. 95, к. 3",,,,,,2002-11-26,91510,20282-B,"торговля фармпрепаратами",2000-06-22,2003-11-26,,,1,45286552000,170,1,01,1,2003-11-28,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
171,,42,7705410282,50010282,"14001,14010,14050",,12247,45286552000,2000-10-27,000.001.0282,"ЗАВОД № 0282","ЗАВОД № 0282",,"ул. Зеленая, д. 64, к. 4","ул. Зеленая, д. 64, к. 4","ул. Зеленая, д. 64, к. 4",111-1000,111-2000,,,,2003-04-26,14001,10282-A1,,2000-06-23,2003-04-26,,,1,45286552000,171,0,01,1,2003-09-18,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
172,,42,7705410284,50010284,"14001,14010,14050",,12247,45286552000,2000-01-01,000.001.0284,"ЗАВОД № 0284","ЗАВОД № 0284",,"ул. Новый Арбат, д. 35, к. 1","ул. Новый Арбат, д. 35, к. 1","ул. Новый Арбат, д. 35, к. 1",111-1000,111-2000,,,,2003-03-11,14001,10284-A1,,2000-09-12,2003-03-11,,,1,45286552000,172,0,01,1,2003-10-14,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
173,,16,7705460301,50060301,,,,45286552000,2000-01-29,000.006.0301,ЧП-0301,ЧП-0301,,"2-я Грузинская улица, д. 53, к. 1","2-я Грузинская улица, д. 53, к. 1","2-я Грузинская улица, д. 53, к. 1",,,,,,2003-01-07,84000,60301-A1,коммерция,2000-04-07,2003-01-07,,,4,45286552000,173,0,01,1,2003-09-11,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
174,,14,7705450280,50050280,"82000,82205",,,45286552000,2000-02-25,000.005.0280,ГУП-0280,ГУП-0280,,"пер. Маяковского, д. 32","пер. Маяковского, д. 32","пер. Маяковского, д. 32",,,,,,2002-10-14,82000,50280-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-02-04,2003-10-14,,,4,45286552000,174,0,03,1,2004-04-14,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
175,,42,7705410293,50010293,"14001,14010,14050",,12247,45286552000,2000-12-06,000.001.0293,"ЗАВОД № 0293","ЗАВОД № 0293",,"ул. Островитянова, д. 12","ул. Островитянова, д. 12","ул. Островитянова, д. 12",111-1000,111-2000,,,,2002-10-26,14001,10293-A1,,2000-03-23,2003-10-26,,,1,45286552000,175,0,01,1,2004-01-25,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
176,,14,7705450273,50050273,"82000,82205",,,45286552000,2000-07-24,000.005.0273,ГУП-0273,ГУП-0273,,"тупик Совхозный, д. 95, к. 3","тупик Совхозный, д. 95, к. 3","тупик Совхозный, д. 95, к. 3",,,,,,2003-03-22,82000,50273-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-03-15,2003-03-22,,,4,45286552000,176,0,03,1,2003-04-05,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
177,,16,7705460307,50060307,,,,45286552000,2000-04-13,000.006.0307,ЧП-0307,ЧП-0307,,"ул. Зеленая, д. 38","ул. Зеленая, д. 38","ул. Зеленая, д. 38",,,,,,2003-04-01,84000,60307-A1,коммерция,2000-07-03,2003-04-01,,,4,45286552000,177,0,01,1,2003-06-17,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
178,,16,7705430325,50030325,"71200,71201",,12247,45286552000,2000-11-14,000.003.0325,"УНИВЕРСАМ № 0325","УНИВЕРСАМ № 0325",,"41 км МКАД, д. 16, к. 4","41 км МКАД, д. 16, к. 4","41 км МКАД, д. 16, к. 4",,,,,,2003-03-10,71200,30325-A1,"реализация товаров массового спроса",2000-03-11,2003-03-10,,,4,45286552000,178,0,01,4,2003-11-16,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
179,,14,7705450286,50050286,"82000,82205",,,45286552000,2000-12-17,000.005.0286,ГУП-0286,ГУП-0286,,"ул. Островитянова, д. 77","ул. Островитянова, д. 77","ул. Островитянова, д. 77",,,,,,2003-04-26,82000,50286-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-03-19,2003-04-26,,,4,45286552000,179,0,03,1,2003-11-05,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
180,,42,7705410308,50010308,"14001,14010,14050",,12247,45286552000,2000-07-17,000.001.0308,"ЗАВОД № 0308","ЗАВОД № 0308",,"41 км МКАД, д. 51","41 км МКАД, д. 51","41 км МКАД, д. 51",111-1000,111-2000,,,,2002-11-15,14001,10308-A1,,2000-04-08,2003-11-15,,,1,45286552000,180,0,01,1,2004-01-15,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
181,,14,7705440331,50040331,,,75000,45286552000,2000-12-15,000.004.0331,"ШКОЛА № 0331","ШКОЛА № 0331",,"тупик Совхозный, д. 23","тупик Совхозный, д. 23","тупик Совхозный, д. 23",,,,,,2003-01-13,92100,40331-A1,образование,2000-10-27,2003-01-13,,,4,45286552000,181,0,01,1,2003-05-16,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
182,,12,7705420308,50020308,"91510,91511,91515,10.15.15",,12247,45286552000,2000-07-06,000.002.0308,"АПТЕКА № 0308","АПТЕКА № 0308",,"2-я Грузинская улица, д. 59, к. 3","2-я Грузинская улица, д. 59, к. 3","2-я Грузинская улица, д. 59, к. 3",,,,,,2003-02-02,91510,20308-B,"торговля фармпрепаратами",2000-05-22,2003-02-02,,,1,45286552000,182,1,01,1,2003-08-11,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
183,,12,7705420316,50020316,"91510,91511,91515,10.15.15",,12247,45286552000,2000-03-25,000.002.0316,"АПТЕКА № 0316","АПТЕКА № 0316",,"пр-т Горького, д. 67, к. 1","пр-т Горького, д. 67, к. 1","пр-т Горького, д. 67, к. 1",,,,,,2002-08-22,91510,20316-B,"торговля фармпрепаратами",2000-03-24,2003-08-22,,,1,45286552000,183,1,01,1,2004-03-05,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
184,,12,7705420319,50020319,"91510,91511,91515,10.15.15",,12247,45286552000,2000-09-16,000.002.0319,"АПТЕКА № 0319","АПТЕКА № 0319",,"пр-т Горького, д. 46","пр-т Горького, д. 46","пр-т Горького, д. 46",,,,,,2003-04-22,91510,20319-B,"торговля фармпрепаратами",2000-10-23,2003-04-22,,,1,45286552000,184,1,01,1,2004-03-10,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
185,,16,7705430348,50030348,"71200,71201",,12247,45286552000,2000-03-16,000.003.0348,"УНИВЕРСАМ № 0348","УНИВЕРСАМ № 0348",,"ул. Зеленая, д. 61","ул. Зеленая, д. 61","ул. Зеленая, д. 61",,,,,,2003-07-10,71200,30348-A1,"реализация товаров массового спроса",2000-09-13,2003-07-10,,,4,45286552000,185,0,01,4,2003-12-19,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
186,,42,7705410324,50010324,"14001,14010,14050",,12247,45286552000,2000-01-05,000.001.0324,"ЗАВОД № 0324","ЗАВОД № 0324",,"ул. Советская, д. 55","ул. Советская, д. 55","ул. Советская, д. 55",111-1000,111-2000,,,,2002-10-07,14001,10324-A1,,2000-07-08,2003-10-07,,,1,45286552000,186,0,01,1,2004-09-11,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
187,,14,7705450308,50050308,"82000,82205",,,45286552000,2000-11-28,000.005.0308,ГУП-0308,ГУП-0308,,"пл. Победы, д. 87","пл. Победы, д. 87","пл. Победы, д. 87",,,,,,2002-08-22,82000,50308-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-07-24,2003-08-22,,,4,45286552000,187,0,03,1,2004-02-04,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
188,,12,7705420322,50020322,"91510,91511,91515,10.15.15",,12247,45286552000,2000-02-20,000.002.0322,"АПТЕКА № 0322","АПТЕКА № 0322",,"2-я Грузинская улица, д. 15","2-я Грузинская улица, д. 15","2-я Грузинская улица, д. 15",,,,,,2003-01-15,91510,20322-B,"торговля фармпрепаратами",2000-03-23,2003-01-15,,,1,45286552000,188,1,01,1,2003-10-24,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
189,,16,7705430350,50030350,"71200,71201",,12247,45286552000,2000-01-03,000.003.0350,"УНИВЕРСАМ № 0350","УНИВЕРСАМ № 0350",,"ул. Зеленая, д. 61, к. 3","ул. Зеленая, д. 61, к. 3","ул. Зеленая, д. 61, к. 3",,,,,,2003-01-31,71200,30350-A1,"реализация товаров массового спроса",2000-06-22,2003-01-31,,,4,45286552000,189,0,01,4,2003-02-03,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
190,,16,7705430353,50030353,"71200,71201",,12247,45286552000,2000-12-18,000.003.0353,"УНИВЕРСАМ № 0353","УНИВЕРСАМ № 0353",,"ул. Гвоздева, д. 88","ул. Гвоздева, д. 88","ул. Гвоздева, д. 88",,,,,,2003-02-27,71200,30353-A1,"реализация товаров массового спроса",2000-09-17,2003-02-27,,,4,45286552000,190,0,01,4,2003-11-06,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
191,,16,7705460345,50060345,,,,45286552000,2000-09-18,000.006.0345,ЧП-0345,ЧП-0345,,"пер. Маяковского, д. 95","пер. Маяковского, д. 95","пер. Маяковского, д. 95",,,,,,2002-08-01,84000,60345-A1,коммерция,2000-06-16,2003-08-01,,,4,45286552000,191,0,01,1,2003-08-01,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
192,,14,7705450317,50050317,"82000,82205",,,45286552000,2000-04-30,000.005.0317,ГУП-0317,ГУП-0317,,"2-й пер. Призывников, д. 60, к. 2","2-й пер. Призывников, д. 60, к. 2","2-й пер. Призывников, д. 60, к. 2",,,,,,2002-10-09,82000,50317-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-11-18,2003-10-09,,,4,45286552000,192,0,03,1,2003-12-02,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
193,,14,7705450318,50050318,"82000,82205",,,45286552000,2000-10-12,000.005.0318,ГУП-0318,ГУП-0318,,"ул. Новаторов, д. 5","ул. Новаторов, д. 5","ул. Новаторов, д. 5",,,,,,2002-09-01,82000,50318-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-01-21,2003-09-01,,,4,45286552000,193,0,03,1,2004-06-23,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
194,,42,7705410335,50010335,"14001,14010,14050",,12247,45286552000,2000-11-05,000.001.0335,"ЗАВОД № 0335","ЗАВОД № 0335",,"пр-т Горького, д. 3","пр-т Горького, д. 3","пр-т Горького, д. 3",111-1000,111-2000,,,,2003-05-27,14001,10335-A1,,2000-09-28,2003-05-27,,,1,45286552000,194,0,01,1,2003-09-21,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
195,,42,7705410340,50010340,"14001,14010,14050",,12247,45286552000,2000-07-16,000.001.0340,"ЗАВОД № 0340","ЗАВОД № 0340",,"ул. Ленина, д. 82, к. 5","ул. Ленина, д. 82, к. 5","ул. Ленина, д. 82, к. 5",111-1000,111-2000,,,,2003-07-08,14001,10340-A1,,2000-07-09,2003-07-08,,,1,45286552000,195,0,01,1,2003-12-22,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
196,,14,7705440347,50040347,,,75000,45286552000,2000-07-11,000.004.0347,"ШКОЛА № 0347","ШКОЛА № 0347",,"Яблоневая аллея, д. 86","Яблоневая аллея, д. 86","Яблоневая аллея, д. 86",,,,,,2002-12-13,92100,40347-B-Арб,образование,2000-07-28,2003-12-13,,,4,45286552000,196,1,01,1,2004-01-07,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
197,,16,7705430367,50030367,"71200,71201",,12247,45286552000,2000-05-08,000.003.0367,"УНИВЕРСАМ № 0367","УНИВЕРСАМ № 0367",,"Столичный бульвар, д. 43, к. 1","Столичный бульвар, д. 43, к. 1","Столичный бульвар, д. 43, к. 1",,,,,,2003-07-29,71200,30367-A1,"реализация товаров массового спроса",2000-03-06,2003-07-29,,,4,45286552000,197,0,01,4,2004-04-20,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
198,,16,7705460353,50060353,,,,45286552000,2000-03-18,000.006.0353,ЧП-0353,ЧП-0353,,"ул. Новый Арбат, д. 6","ул. Новый Арбат, д. 6","ул. Новый Арбат, д. 6",,,,,,2002-10-26,84000,60353-A1,коммерция,2000-11-13,2003-10-26,,,4,45286552000,198,0,01,1,2003-12-27,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
199,,14,7705450326,50050326,"82000,82205",,,45286552000,2000-10-24,000.005.0326,ГУП-0326,ГУП-0326,,"ул. Гвоздева, д. 95, к. 5","ул. Гвоздева, д. 95, к. 5","ул. Гвоздева, д. 95, к. 5",,,,,,2002-10-18,82000,50326-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-07-31,2003-10-18,,,4,45286552000,199,0,03,1,2004-05-21,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
200,,16,7705430371,50030371,"71200,71201",,12247,45286552000,2000-11-14,000.003.0371,"УНИВЕРСАМ № 0371","УНИВЕРСАМ № 0371",,"Новоясеневский пр-т, д. 41","Новоясеневский пр-т, д. 41","Новоясеневский пр-т, д. 41",,,,,,2002-11-09,71200,30371-A1,"реализация товаров массового спроса",2000-01-03,2003-11-09,,,4,45286552000,200,0,01,4,2003-11-28,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
201,,12,7705420336,50020336,"91510,91511,91515,10.15.15",,12247,45286552000,2000-03-16,000.002.0336,"АПТЕКА № 0336","АПТЕКА № 0336",,"ул. Зеленая, д. 52, к. 5","ул. Зеленая, д. 52, к. 5","ул. Зеленая, д. 52, к. 5",,,,,,2003-04-07,91510,20336-B,"торговля фармпрепаратами",2000-02-29,2003-04-07,,,1,45286552000,201,1,01,1,2003-04-30,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
202,,16,7705460356,50060356,,,,45286552000,2000-10-19,000.006.0356,ЧП-0356,ЧП-0356,,"пл. Победы, д. 71, к. 5","пл. Победы, д. 71, к. 5","пл. Победы, д. 71, к. 5",,,,,,2003-05-22,84000,60356-A1,коммерция,2000-06-08,2003-05-22,,,4,45286552000,202,0,01,1,2003-07-18,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
203,,14,7705440352,50040352,,,75000,45286552000,2000-05-30,000.004.0352,"ШКОЛА № 0352","ШКОЛА № 0352",,"2-я Грузинская улица, д. 39, к. 1","2-я Грузинская улица, д. 39, к. 1","2-я Грузинская улица, д. 39, к. 1",,,,,,2003-02-06,92100,40352-B-Арб,образование,2000-05-22,2003-02-06,,,4,45286552000,203,1,01,1,2003-08-28,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
